Proizvod;Mesec_pruzanja_usluge;Jedinicna_cena;Broj_transakcija;Fakturisan_iznos;Fakturisan_korigovan_iznos;Naplacen_iznos;Kumulativ_naplacenih_iznosa;Nenaplacen_iznos;Nenaplacen_korigovan_iznos;Storniran_iznos_u_tekucem_mesecu_iz_perioda_pracenja;Otkazan_iznos;Kumulativ_otkazanih_iznosa;Iznos_za_prenos_sredstava_;Provajder
S___4092GAMI                            ;2025-01-01;300;1741;522300;522300;394500;394500;127800;127800;0;0;0;473400;NTHMedia_S
S___4092M360                            ;2025-01-01;300;504;151200;151200;110400;110400;40800;40800;0;0;0;132480;NTHMedia_S
S___4093STREAM                          ;2025-01-01;150;6178;926700;926700;713700;713700;213000;213000;0;0;0;856440;NTHMedia_S
S___4094ABC                             ;2025-01-01;150;447;67050;67050;52200;52200;14850;14850;0;0;0;62640;NTHMedia_S
S___4094HUB                             ;2025-01-01;150;7548;1132200;1132200;850500;850500;281700;281700;0;0;0;1020600;NTHMedia_S
S___4272SM                              ;2025-01-01;300;8804;2641200;2641200;2033100;2033100;608100;608100;0;0;0;2439720;NTHMedia_S
S___4505AUGIE                           ;2025-01-01;300;1815;544500;544500;417900;417900;126600;126600;0;0;0;501480;NTHMedia_S
S___4514AA                              ;2025-01-01;150;10;1500;1500;1500;1500;0;0;0;0;0;1800;NTHMedia_S
S___4514BA                              ;2025-01-01;300;4;1200;1200;1200;1200;0;0;0;0;0;1440;NTHMedia_S
S___4516ASTRO                           ;2025-01-01;150;81;12150;12150;9000;9000;3150;3150;0;0;0;10800;NTHMedia_S
S___4516CLEAN                           ;2025-01-01;150;31;4650;4650;4650;4650;0;0;0;0;0;5580;NTHMedia_S
S___4516DANCE                           ;2025-01-01;150;97;14550;14550;8850;8850;5700;5700;0;0;0;10620;NTHMedia_S
S___4516IQ                              ;2025-01-01;150;747;112050;112050;80250;80250;31800;31800;0;0;0;96300;NTHMedia_S
S___4516KLICK                           ;2025-01-01;150;464;69600;69600;52050;52050;17550;17550;0;0;0;62460;NTHMedia_S
S___4516LOL                             ;2025-01-01;150;56;8400;8400;5400;5400;3000;3000;0;0;0;6480;NTHMedia_S
S___4516LUNA                            ;2025-01-01;150;22;3300;3300;3300;3300;0;0;0;0;0;3960;NTHMedia_S
S___4516PIC                             ;2025-01-01;150;1219;182850;182850;133800;133800;49050;49050;0;0;0;160560;NTHMedia_S
S___4516SPICY                           ;2025-01-01;150;1715;257250;257250;193950;193950;63300;63300;0;0;0;232740;NTHMedia_S
S___4516WELL                            ;2025-01-01;150;150;22500;22500;11700;11700;10800;10800;0;0;0;14040;NTHMedia_S
S___4516WOW                             ;2025-01-01;150;110;16500;16500;12900;12900;3600;3600;0;0;0;15480;NTHMedia_S
S___4557HUB                             ;2025-01-01;150;280;42000;42000;35400;35400;6600;6600;0;0;0;42480;NTHMedia_S
S___4800FB                              ;2025-01-01;150;36;5400;5400;4050;4050;1350;1350;0;0;0;4860;NTHMedia_S
S___4800ON                              ;2025-01-01;150;5;750;750;750;750;0;0;0;0;0;900;NTHMedia_S
S___4820AW                              ;2025-01-01;150;1054;158100;158100;124050;124050;34050;34050;0;0;0;148860;NTHMedia_S
