parkingServiceId,serviceId,group,serviceName,price,date,quantity,amount
96ea5219-8390-4bea-ac57-864c0841741d,d0845f57-98bf-43fe-a375-3e07f83c5c78,prepaid,S_9131__9131PancevoCrvenaZona,39.0,20.05.2025,37.0,1202.5
96ea5219-8390-4bea-ac57-864c0841741d,d0845f57-98bf-43fe-a375-3e07f83c5c78,prepaid,S_9131__9131PancevoCrvenaZona,39.0,21.05.2025,30.0,975.0
96ea5219-8390-4bea-ac57-864c0841741d,d0845f57-98bf-43fe-a375-3e07f83c5c78,prepaid,S_9131__9131PancevoCrvenaZona,39.0,22.05.2025,32.0,1040.0
96ea5219-8390-4bea-ac57-864c0841741d,d0845f57-98bf-43fe-a375-3e07f83c5c78,prepaid,S_9131__9131PancevoCrvenaZona,39.0,23.05.2025,51.0,1657.5
96ea5219-8390-4bea-ac57-864c0841741d,d0845f57-98bf-43fe-a375-3e07f83c5c78,prepaid,S_9131__9131PancevoCrvenaZona,39.0,24.05.2025,21.0,682.5
96ea5219-8390-4bea-ac57-864c0841741d,d0845f57-98bf-43fe-a375-3e07f83c5c78,prepaid,S_9131__9131PancevoCrvenaZona,39.0,25.05.2025,1.0,32.5
96ea5219-8390-4bea-ac57-864c0841741d,d0845f57-98bf-43fe-a375-3e07f83c5c78,prepaid,S_9131__9131PancevoCrvenaZona,39.0,26.05.2025,46.0,1495.0
96ea5219-8390-4bea-ac57-864c0841741d,d0845f57-98bf-43fe-a375-3e07f83c5c78,prepaid,S_9131__9131PancevoCrvenaZona,39.0,27.05.2025,36.0,1170.0
96ea5219-8390-4bea-ac57-864c0841741d,d0845f57-98bf-43fe-a375-3e07f83c5c78,prepaid,S_9131__9131PancevoCrvenaZona,39.0,28.05.2025,39.0,1267.5
96ea5219-8390-4bea-ac57-864c0841741d,d0845f57-98bf-43fe-a375-3e07f83c5c78,prepaid,S_9131__9131PancevoCrvenaZona,39.0,29.05.2025,45.0,1462.5
96ea5219-8390-4bea-ac57-864c0841741d,d0845f57-98bf-43fe-a375-3e07f83c5c78,prepaid,S_9131__9131PancevoCrvenaZona,39.0,30.05.2025,42.0,1365.0
96ea5219-8390-4bea-ac57-864c0841741d,d0845f57-98bf-43fe-a375-3e07f83c5c78,prepaid,S_9131__9131PancevoCrvenaZona,39.0,31.05.2025,28.0,910.0
96ea5219-8390-4bea-ac57-864c0841741d,a3342959-6e33-4bdf-a34e-62cad7417270,prepaid,S_9132__9132PancevoZutaZona,33.0,03.05.2025,17.0,467.5
96ea5219-8390-4bea-ac57-864c0841741d,a3342959-6e33-4bdf-a34e-62cad7417270,prepaid,S_9132__9132PancevoZutaZona,33.0,05.05.2025,18.0,495.0
96ea5219-8390-4bea-ac57-864c0841741d,a3342959-6e33-4bdf-a34e-62cad7417270,prepaid,S_9132__9132PancevoZutaZona,33.0,06.05.2025,22.0,605.0
96ea5219-8390-4bea-ac57-864c0841741d,a3342959-6e33-4bdf-a34e-62cad7417270,prepaid,S_9132__9132PancevoZutaZona,33.0,07.05.2025,17.0,467.5
96ea5219-8390-4bea-ac57-864c0841741d,a3342959-6e33-4bdf-a34e-62cad7417270,prepaid,S_9132__9132PancevoZutaZona,33.0,08.05.2025,18.0,495.0
96ea5219-8390-4bea-ac57-864c0841741d,a3342959-6e33-4bdf-a34e-62cad7417270,prepaid,S_9132__9132PancevoZutaZona,33.0,09.05.2025,24.0,660.0
96ea5219-8390-4bea-ac57-864c0841741d,a3342959-6e33-4bdf-a34e-62cad7417270,prepaid,S_9132__9132PancevoZutaZona,33.0,10.05.2025,23.0,632.5
96ea5219-8390-4bea-ac57-864c0841741d,a3342959-6e33-4bdf-a34e-62cad7417270,prepaid,S_9132__9132PancevoZutaZona,33.0,12.05.2025,15.0,412.5
96ea5219-8390-4bea-ac57-864c0841741d,a3342959-6e33-4bdf-a34e-62cad7417270,prepaid,S_9132__9132PancevoZutaZona,33.0,13.05.2025,32.0,880.0
96ea5219-8390-4bea-ac57-864c0841741d,a3342959-6e33-4bdf-a34e-62cad7417270,prepaid,S_9132__9132PancevoZutaZona,33.0,14.05.2025,12.0,330.0
96ea5219-8390-4bea-ac57-864c0841741d,a3342959-6e33-4bdf-a34e-62cad7417270,prepaid,S_9132__9132PancevoZutaZona,33.0,15.05.2025,21.0,577.5
96ea5219-8390-4bea-ac57-864c0841741d,a3342959-6e33-4bdf-a34e-62cad7417270,prepaid,S_9132__9132PancevoZutaZona,33.0,16.05.2025,15.0,412.5
96ea5219-8390-4bea-ac57-864c0841741d,a3342959-6e33-4bdf-a34e-62cad7417270,prepaid,S_9132__9132PancevoZutaZona,33.0,17.05.2025,16.0,440.0
96ea5219-8390-4bea-ac57-864c0841741d,a3342959-6e33-4bdf-a34e-62cad7417270,prepaid,S_9132__9132PancevoZutaZona,33.0,19.05.2025,15.0,412.5
96ea5219-8390-4bea-ac57-864c0841741d,a3342959-6e33-4bdf-a34e-62cad7417270,prepaid,S_9132__9132PancevoZutaZona,33.0,20.05.2025,15.0,412.5
96ea5219-8390-4bea-ac57-864c0841741d,a3342959-6e33-4bdf-a34e-62cad7417270,prepaid,S_9132__9132PancevoZutaZona,33.0,21.05.2025,17.0,467.5
96ea5219-8390-4bea-ac57-864c0841741d,a3342959-6e33-4bdf-a34e-62cad7417270,prepaid,S_9132__9132PancevoZutaZona,33.0,22.05.2025,20.0,550.0
96ea5219-8390-4bea-ac57-864c0841741d,a3342959-6e33-4bdf-a34e-62cad7417270,prepaid,S_9132__9132PancevoZutaZona,33.0,23.05.2025,18.0,495.0
96ea5219-8390-4bea-ac57-864c0841741d,a3342959-6e33-4bdf-a34e-62cad7417270,prepaid,S_9132__9132PancevoZutaZona,33.0,24.05.2025,14.0,385.0
96ea5219-8390-4bea-ac57-864c0841741d,a3342959-6e33-4bdf-a34e-62cad7417270,prepaid,S_9132__9132PancevoZutaZona,33.0,26.05.2025,10.0,275.0
96ea5219-8390-4bea-ac57-864c0841741d,a3342959-6e33-4bdf-a34e-62cad7417270,prepaid,S_9132__9132PancevoZutaZona,33.0,27.05.2025,22.0,605.0
96ea5219-8390-4bea-ac57-864c0841741d,a3342959-6e33-4bdf-a34e-62cad7417270,prepaid,S_9132__9132PancevoZutaZona,33.0,28.05.2025,12.0,330.0
96ea5219-8390-4bea-ac57-864c0841741d,a3342959-6e33-4bdf-a34e-62cad7417270,prepaid,S_9132__9132PancevoZutaZona,33.0,29.05.2025,17.0,467.5
96ea5219-8390-4bea-ac57-864c0841741d,a3342959-6e33-4bdf-a34e-62cad7417270,prepaid,S_9132__9132PancevoZutaZona,33.0,30.05.2025,24.0,660.0
96ea5219-8390-4bea-ac57-864c0841741d,a3342959-6e33-4bdf-a34e-62cad7417270,prepaid,S_9132__9132PancevoZutaZona,33.0,31.05.2025,16.0,440.0
96ea5219-8390-4bea-ac57-864c0841741d,cc287863-032c-42a9-8afa-6ecaf98a698d,prepaid,S_9133__9133PancevoZelenaZonaCeoDan,88.0,03.05.2025,2.0,146.67
96ea5219-8390-4bea-ac57-864c0841741d,cc287863-032c-42a9-8afa-6ecaf98a698d,prepaid,S_9133__9133PancevoZelenaZonaCeoDan,88.0,05.05.2025,10.0,733.33
96ea5219-8390-4bea-ac57-864c0841741d,cc287863-032c-42a9-8afa-6ecaf98a698d,prepaid,S_9133__9133PancevoZelenaZonaCeoDan,88.0,06.05.2025,11.0,806.67
96ea5219-8390-4bea-ac57-864c0841741d,cc287863-032c-42a9-8afa-6ecaf98a698d,prepaid,S_9133__9133PancevoZelenaZonaCeoDan,88.0,07.05.2025,3.0,220.0
96ea5219-8390-4bea-ac57-864c0841741d,cc287863-032c-42a9-8afa-6ecaf98a698d,prepaid,S_9133__9133PancevoZelenaZonaCeoDan,88.0,08.05.2025,9.0,660.0
96ea5219-8390-4bea-ac57-864c0841741d,cc287863-032c-42a9-8afa-6ecaf98a698d,prepaid,S_9133__9133PancevoZelenaZonaCeoDan,88.0,09.05.2025,3.0,220.0
96ea5219-8390-4bea-ac57-864c0841741d,cc287863-032c-42a9-8afa-6ecaf98a698d,prepaid,S_9133__9133PancevoZelenaZonaCeoDan,88.0,10.05.2025,7.0,513.33
96ea5219-8390-4bea-ac57-864c0841741d,cc287863-032c-42a9-8afa-6ecaf98a698d,prepaid,S_9133__9133PancevoZelenaZonaCeoDan,88.0,11.05.2025,3.0,220.0
