provider_name,agreement_name,service_name,step_name,sender_name,requests,message_parts
"CePP","CeppBulkOnDemand","CeppBulkBanke","BulkBanke","LOOPIA","304","567"
"Akton_Bulk","BulkSubscriptionStarion","SrnBulkSaDr","Delivery","RTC","554","562"
"Akton_Bulk","BulkOnDemand","SRNBULKZAODJAVU","PURE_MT","Sportvision","187","561"
"NTHMedia","NTHBulkFull","S1599PMCFakultet","PureMT","PMCFakultet","196","555"
"Fonlider","OneClickPureMTbulk","OneClickSMSBulk1","PureMT","ADS_SMS","290","550"
"NTHMedia","NthBulkOnDemand","N_1599IQOSClub","MT","IQOSClub","540","540"
"Akton_Bulk","BulkSubscriptionStarion","SrnPolycomBulk","Delivery","Modena_Info","218","539"
"Infobip","InfobipBulkOnDemand","Banking_Infobip","1NonSmsCRDrB","PandoraINFO","532","532"
"ComTradeITSS","ComTradeITSSBulkOnDemand","BULK5005NoDL","1NonSmsCRDrB","DivaKlinika","531","531"
"Infobip","InfobipBulkOnDemand","Banking_Infobip","1NonSmsCRDrB","BETTYInfo","525","525"
"NTHMedia","NTHBulkFull","S1599Panda4You","PureMT","Panda4You","306","523"
"Akton_Bulk","BulkOnDemand","SRNBULKZAODJAVU","PURE_MT","AgroInfo","522","522"
"NTHMedia","NthBulkOnDemand","N_1599UC_Banka_NTH_Spec","MT","UC_Banka","449","515"
"Akton_Bulk","BulkSubscriptionStarion","SrnPolycomBulk","Delivery","Dexpress","514","514"
"ComTradeITSS","ComTradeITSSBulkOnDemand","BULKNoDL","Pure_MT","IronRep","511","511"
"Akton_Bulk","BulkOnDemand","SRNBULKZAODJAVU","PURE_MT","VW_servis","255","510"
"NTHMedia","NTHBulkFull","S1599VODEN","PureMT","VODEN","456","507"
"Akton_Bulk","BulkSubscriptionStarion","Boomerang","Delivery","Boomerang","252","503"
"Infobip","InfobipBulkSubscription","Toprabat","MtSms","Toprabat","276","496"
"NTHMedia","NthBulkOnDemand","N_1599MojaPatrola","MT","MojaPatrola","480","480"
"Akton_Bulk","BulkSubscriptionStarion","SrnPolycomBulk","Delivery","Go2_Event","209","474"
"ComTradeITSS","ComTradeITSSBulkSubsciption","Bulk5005DR","Delivery","ESTEH.NET","120","474"
"Akton_Bulk","BulkSubscriptionStarion","GalerijaPodova","Delivery","GalerijaPod","469","469"
"NTHMedia","NTHBulkFull","S1599BCGroup","PureMT","BC_Group","400","465"
"Akton_Bulk","BulkOnDemand","SRNBULKZAODJAVU","PURE_MT","Emmezeta","460","460"
"NTHMedia","NTHBulkFull","S1599RLKBeograda","PureMT","RLKBeograda","226","452"
"Akton_Bulk","BulkSubscriptionStarion","Ploom","Delivery","Ploom","109","436"
"Akton_Bulk","BulkSubscriptionStarion","SrnBulkSaDr","Delivery","DISTANTE","433","433"
"ComTradeITSS","ComTradeITSSBulkOnDemand","BULK5005NoDL","1NonSmsCRDrB","eventlin","433","433"
"Fonlider","OneClickSubscriprionBulk","OneClickSMSBulk","Isporuka","MEXX","427","427"
"ComTradeITSS","ComTradeITSSBulkOnDemand","BULK5005NoDL","1NonSmsCRDrB","Dunav","213","426"
"NTHMedia","NthBulkOnDemand","N_1599Onesta","PureMT","Onesta","341","406"
"NTHMedia","NthBulkOnDemand","N_1516INFOSTUD","MT","INFOSTUD","200","400"
"Akton_Bulk","OTT_SocNet_Starion","SrnAktonOTT","Isporuka","CartBoss","262","384"
"Akton_Bulk","BulkOnDemand","SRNBULKZAODJAVU","PURE_MT","SoftechAUTH","378","378"
"Akton_Bulk","BulkOnDemand","SRNBULKZAODJAVU","PURE_MT","BIBLIOTEKA","376","376"
"Akton_Bulk","BulkOnDemand","SRNBULKZAODJAVU","PURE_MT","PetKlub","375","375"
"ComTradeITSS","ComTradeITSSBulkOnDemand","BULK5005NoDL","1NonSmsCRDrB","ASAPcentar","365","365"
"Infobip","InfobipBulkOnDemand","Banking_Infobip","1NonSmsCRDrB","Galerija","358","358"
"NTHMedia","NthBulkOnDemand","N_1599Bookaweb","MT","Bookaweb","194","355"
"Akton_Bulk","BulkSubscriptionStarion","SrnBulkSaDr","Delivery","Ankica","91","348"
"Infobip","InfobipBulkAnketa","4688HSECOMMBG011DOO_Anketa","Anketa","4688","169","345"
"ComTradeITSS","ComTradeITSSBulkOnDemand","BULKNoDL","Pure_MT","MEDIUS","342","342"
"Infobip","InfobipBulkOnDemand","Banking_Infobip","1NonSmsCRDrB","PloomCare","171","339"
"NTHMedia","NTHBulkFull","S_1599NemetSokovi","PureMT","NemetSokovi","339","339"
